source_entity,target_entity,relationship_description,relationship_strength,readable_id,relationship_id,source_chunk_ids,embedding
GULLIVERS TRAVELS,JONATHAN SWIFT,Jonathan Swift is the author of Gulliver's Travels,10.0,1,1e6eecac-89c0-40ff-99c0-089603d2a419,['1c091cba-ec23-47c0-8672-4c97ee7ee0fb'],[]
GULLIVERS TRAVELS,LEMUEL GULLIVER,Lemuel Gulliver is the main character in Gulliver's Travels,10.0,2,73ae2f87-13ff-4dc4-8b78-ea7d3da9f2c0,['1c091cba-ec23-47c0-8672-4c97ee7ee0fb'],[]
GULLIVERS TRAVELS,REDRIFF,Gulliver's house is located in Redriff,8.0,3,0bdb9abe-be34-434a-97e1-a7409f4e2dde,['1c091cba-ec23-47c0-8672-4c97ee7ee0fb'],[]
GULLIVERS TRAVELS,NEWARK,Gulliver now lives in Newark,8.0,4,3b821447-1417-4dca-b0f5-79908006327e,['1c091cba-ec23-47c0-8672-4c97ee7ee0fb'],[]
GULLIVERS TRAVELS,NOTTINGHAMSHIRE,Gulliver is from Nottinghamshire,8.0,5,a886a125-a05f-4136-aec9-2f89fbdd1a9b,['1c091cba-ec23-47c0-8672-4c97ee7ee0fb'],[]
GULLIVERS TRAVELS,BANBURY,Gulliver's family is from Banbury in Oxfordshire,8.0,6,b9030953-f114-4c38-abed-f6f96cb7238b,['1c091cba-ec23-47c0-8672-4c97ee7ee0fb'],[]
REDDIFF,MR. GULLIVER,Mr. Gulliver left the custody of the papers in Reddiff,5.0,7,9848bd79-6993-44e2-ba96-02a352c58855,['528b52cd-34b1-4483-9ff6-0551e60f4353'],[]
VOLUME,MR. GULLIVER,The volume is written by Mr. Gulliver,5.0,8,b47aa43e-f6c7-4b33-87a9-98e5cf89a990,['6e36bf4e-6807-42a0-8573-0db408cf0d39'],[]
VOLUME,READER,The volume is meant to be read by the reader,7.0,9,19f61b2d-e14d-4be6-a975-2b36af1aeaf2,['6e36bf4e-6807-42a0-8573-0db408cf0d39'],[]
RICHARD SYMPSON,CAPTAIN GULLIVER,Richard Symson wrote a letter to Captain Gulliver,6.0,10,3cb41247-3db2-4b7a-bd32-6fa7fb0ac42a,['6e36bf4e-6807-42a0-8573-0db408cf0d39'],[]
QUEEN ANNE,AUTHOR,The author renounces a paragraph about Queen Anne,6.0,11,6b1ec6f6-0e4c-4dc1-afa0-e2a46c5ab7e1,['396968fc-46d3-4b4d-8378-9dd10dbccb1d'],[]
